placement,table_id,table_caption,dataset,model,hop,partition,beta,method,PE,num_clients,accuracy,mean_acc_pct,std_acc_pct,n_reps,delta_vs_zerohop_pp,zerohop_acc_pct,num_iter,t,alpha,notes,source_summary_path,source_dataset,beta_label,zero_acc_pct,full_acc_pct,best_fedprop_method,best_fedprop_acc_pct,gain_vs_zero_pp,full_gap_pp,gap_closed_pct,gap_closed_clipped_pct,status,zero_n_reps,full_n_reps,fedprop_n_reps
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,FedProp-Adj,yes,10,79.48 +/- 0.88 (n=13),79.48461538461538,0.8763999789348014,13.0,13.516615384615378,65.968,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,FedProp-Diff,no,10,76.34 +/- 1.09 (n=15),76.34,1.0874610009427603,15.0,10.372,65.968,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,FedProp-Diff,yes,10,81.38 +/- 0.75 (n=13),81.37692307692308,0.7451552927117968,13.0,15.408923076923074,65.968,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,Full-graph,no,10,81.05 +/- 0.65 (n=20),81.05,0.6549407365716747,20.0,15.081999999999994,65.968,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=1),1,Zero-hop,no,10,65.97 +/- 2.65 (n=25),65.968,2.6485404785780924,25.0,0.0,65.968,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=10),10,FedProp-Adj,no,10,73.36 +/- 1.29 (n=10),73.36,1.2877197762798491,10.0,11.632413793103439,61.72758620689656,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=10),10,FedProp-Diff,no,10,71.29 +/- 1.40 (n=8),71.2875,1.4014660691066148,8.0,9.559913793103433,61.72758620689656,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=10),10,Full-graph,no,10,80.19 +/- 0.67 (n=10),80.19000000000001,0.6657493689236361,10.0,18.46241379310345,61.72758620689656,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,non-IID (beta=10),10,Zero-hop,no,10,61.73 +/- 2.14 (n=29),61.72758620689656,2.1415776147043943,29.0,0.0,61.72758620689656,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,FedProp-Adj,no,10,71.59 +/- 1.96 (n=14),71.59285714285714,1.9621276856884369,14.0,11.797735191637635,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,FedProp-Adj,yes,10,74.29 +/- 0.64 (n=13),74.29230769230769,0.6356906198006739,13.0,14.497185741088181,59.79512195121951,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,FedProp-Diff,no,10,69.90 +/- 1.54 (n=25),69.896,1.5447437759490494,25.0,10.100878048780494,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,FedProp-Diff,yes,10,75.05 +/- 0.66 (n=13),75.04615384615386,0.6615831827459858,13.0,15.25103189493435,59.79512195121951,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,Full-graph,no,10,79.98 +/- 0.62 (n=20),79.985,0.6166761497611296,20.0,20.189878048780493,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,1,IID (beta=10000),10000,Zero-hop,no,10,59.80 +/- 1.70 (n=41),59.79512195121951,1.7038120817027045,41.0,0.0,59.79512195121951,50.0,0.1,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,FedProp-Adj,no,10,79.58 +/- 0.78 (n=13),79.57692307692308,0.7769103832423304,13.0,11.366923076923072,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,FedProp-Adj,yes,10,81.44 +/- 0.60 (n=13),81.43846153846154,0.6035153429953252,13.0,13.22846153846153,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,FedProp-Diff,no,10,79.98 +/- 0.61 (n=13),79.98461538461538,0.6108002317263159,13.0,11.774615384615373,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,FedProp-Diff,yes,10,82.28 +/- 0.61 (n=13),82.28461538461538,0.6121630417981697,13.0,14.07461538461537,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,Full-graph,no,10,80.56 +/- 0.44 (n=10),80.56,0.4351245032554862,10.0,12.349999999999994,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,non-IID (beta=1),1,Zero-hop,no,10,68.21 +/- 1.28 (n=10),68.21000000000001,1.2827487846201366,10.0,0.0,68.21000000000001,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,FedProp-Adj,no,10,74.77 +/- 0.60 (n=13),74.76923076923076,0.603302874992619,13.0,12.749230769230756,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
main,T1,GCN accuracy on homophilic benchmarks (IID and non-IID Dirichlet partitions),Cora,GCN,2,IID (beta=10000),10000,FedProp-Adj,yes,10,76.43 +/- 0.65 (n=13),76.43076923076923,0.6511331346002596,13.0,14.410769230769226,62.02,80.0,1.0,0.5,,experiments/results/current/summary_current_live_preferred.csv,,,,,,,,,,,,,,
