result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
primary_10_client,Citeseer,GCN,1,Zero-hop,no,10000,10,50,0.1,0.5,10,58.66,1.57070401766568,1,experiments/results/current/summary_current_live_preferred.csv,58.66 +/- 1.57 (n=10)
primary_10_client,Citeseer,GCN,2,FedProp-Adj,no,1,10,80,1.0,0.5,3,68.23333333333333,0.4509249752822898,1,experiments/results/current/summary_current_live_preferred.csv,68.23 +/- 0.45 (n=3)
primary_10_client,Citeseer,GCN,2,FedProp-Adj,no,10000,10,80,1.0,0.5,3,65.83333333333333,0.5507570547286107,1,experiments/results/current/summary_current_live_preferred.csv,65.83 +/- 0.55 (n=3)
primary_10_client,Citeseer,GCN,2,FedProp-Adj,yes,1,10,80,1.0,0.5,10,68.45,0.7749551958375083,2,experiments/results/current/summary_current_live_preferred.csv,68.45 +/- 0.77 (n=10)
primary_10_client,Citeseer,GCN,2,FedProp-Adj,yes,10000,10,80,1.0,0.5,10,66.51,1.2600264547487363,2,experiments/results/current/summary_current_live_preferred.csv,66.51 +/- 1.26 (n=10)
primary_10_client,Citeseer,GCN,2,FedProp-Diff,no,1,10,80,1.0,0.5,3,68.73333333333333,1.1930353445448802,1,experiments/results/current/summary_current_live_preferred.csv,68.73 +/- 1.19 (n=3)
primary_10_client,Citeseer,GCN,2,FedProp-Diff,no,10000,10,80,1.0,0.5,3,66.9,0.1732050807568879,1,experiments/results/current/summary_current_live_preferred.csv,66.90 +/- 0.17 (n=3)
primary_10_client,Citeseer,GCN,2,FedProp-Diff,yes,1,10,80,1.0,0.5,10,69.08999999999999,0.7852105167122696,2,experiments/results/current/summary_current_live_preferred.csv,69.09 +/- 0.79 (n=10)
primary_10_client,Citeseer,GCN,2,FedProp-Diff,yes,10000,10,80,1.0,0.5,10,66.79,1.2068784344562455,2,experiments/results/current/summary_current_live_preferred.csv,66.79 +/- 1.21 (n=10)
primary_10_client,Citeseer,GCN,2,Full-graph,no,1,10,80,1.0,0.5,6,70.26666666666667,0.2065591117977291,2,experiments/results/current/summary_current_live_preferred.csv,70.27 +/- 0.21 (n=6)
primary_10_client,Citeseer,GCN,2,Full-graph,no,10000,10,80,1.0,0.5,6,69.73333333333332,0.4718756898449708,2,experiments/results/current/summary_current_live_preferred.csv,69.73 +/- 0.47 (n=6)
primary_10_client,Citeseer,GCN,2,Zero-hop,no,1,10,80,1.0,0.5,10,61.17,2.25785050189088,1,experiments/results/current/summary_current_live_preferred.csv,61.17 +/- 2.26 (n=10)
primary_10_client,Citeseer,GCN,2,Zero-hop,no,10000,10,80,1.0,0.5,10,58.78,2.6046112953759515,1,experiments/results/current/summary_current_live_preferred.csv,58.78 +/- 2.60 (n=10)
primary_10_client,Computers,GCN,2,FedProp-Adj,no,1,10,50,0.1,0.5,15,78.46,2.4456375154840213,3,experiments/results/current/summary_current_live_preferred.csv,78.46 +/- 2.45 (n=15)
primary_10_client,Computers,GCN,2,FedProp-Adj,no,10,10,50,0.1,0.5,15,74.41333333333333,3.878487677776827,3,experiments/results/current/summary_current_live_preferred.csv,74.41 +/- 3.88 (n=15)
primary_10_client,Computers,GCN,2,FedProp-Adj,no,10000,10,50,0.1,0.5,15,69.82666666666667,9.494770490468248,3,experiments/results/current/summary_current_live_preferred.csv,69.83 +/- 9.49 (n=15)
primary_10_client,Computers,GCN,2,FedProp-Diff,no,1,10,50,0.1,0.5,10,79.06,1.7858704693603418,2,experiments/results/current/summary_current_live_preferred.csv,79.06 +/- 1.79 (n=10)
primary_10_client,Computers,GCN,2,FedProp-Diff,no,10,10,50,0.1,0.5,10,76.76,3.3493614648500154,2,experiments/results/current/summary_current_live_preferred.csv,76.76 +/- 3.35 (n=10)
primary_10_client,Computers,GCN,2,FedProp-Diff,no,10000,10,50,0.1,0.5,10,74.44999999999999,5.633678490412223,2,experiments/results/current/summary_current_live_preferred.csv,74.45 +/- 5.63 (n=10)
primary_10_client,Computers,GCN,2,Full-graph,no,1,10,50,0.1,0.5,10,82.88,3.0279439302015545,2,experiments/results/current/summary_current_live_preferred.csv,82.88 +/- 3.03 (n=10)
primary_10_client,Computers,GCN,2,Full-graph,no,10,10,50,0.1,0.5,10,83.49,3.5479101830044484,2,experiments/results/current/summary_current_live_preferred.csv,83.49 +/- 3.55 (n=10)
primary_10_client,Computers,GCN,2,Full-graph,no,10000,10,50,0.1,0.5,10,77.88999999999999,8.13148202974095,2,experiments/results/current/summary_current_live_preferred.csv,77.89 +/- 8.13 (n=10)
primary_10_client,Computers,GCN,2,Zero-hop,no,1,10,50,0.1,0.5,15,83.72666666666666,1.415963410880516,3,experiments/results/current/summary_current_live_preferred.csv,83.73 +/- 1.42 (n=15)
